area_0,area_1,area_2,time,iter 
7,10,23,0,1
7,10,23,1,1
7,11,29,2,1
9,13,37,3,1
14,16,47,4,1
14,20,57,5,1
14,27,64,6,1
18,32,75,7,1
22,33,83,8,1
25,40,105,9,1
29,51,115,10,1
22,45,107,11,1
23,49,122,12,1
23,55,141,13,1
21,60,156,14,1
23,61,162,15,1
22,64,178,16,1
28,63,184,17,1
32,71,204,18,1
38,70,208,19,1
38,68,218,20,1
43,77,234,21,1
49,79,240,22,1
51,86,241,23,1
53,88,238,24,1
51,101,257,25,1
53,112,265,26,1
56,120,271,27,1
54,130,264,28,1
49,139,268,29,1
53,147,270,30,1
47,141,258,31,1
39,131,256,32,1
31,122,249,33,1
28,109,247,34,1
22,95,235,35,1
12,79,215,36,1
1,66,202,37,1
-4,46,191,38,1
-9,30,176,39,1
-18,13,158,40,1
-18,8,144,41,1
-18,5,129,42,1
-18,-1,115,43,1
-18,-5,104,44,1
-18,-8,90,45,1
-18,-10,86,46,1
-18,-10,78,47,1
-18,-11,69,48,1
-18,-13,59,49,1
-18,-14,58,50,1
-18,-15,53,51,1
-18,-17,53,52,1
-18,-17,50,53,1
-18,-17,46,54,1
-18,-18,43,55,1
-18,-18,42,56,1
-18,-18,39,57,1
-18,-18,39,58,1
-18,-19,39,59,1
-18,-19,38,60,1
-18,-19,38,61,1
-18,-19,37,62,1
-18,-19,37,63,1
-18,-19,37,64,1
-18,-19,37,65,1
-18,-19,37,66,1
-18,-19,37,67,1
-18,-19,37,68,1
-18,-19,37,69,1
-18,-19,37,70,1
-18,-19,37,71,1
-18,-19,37,72,1
-18,-19,37,73,1
-18,-19,37,74,1
-18,-19,37,75,1
-18,-19,37,76,1
-18,-19,37,77,1
-18,-19,37,78,1
-18,-19,37,79,1
-18,-19,37,80,1
-18,-19,37,81,1
-18,-19,37,82,1
-18,-19,37,83,1
-18,-19,37,84,1
-18,-19,37,85,1
-18,-19,37,86,1
-18,-19,37,87,1
-18,-19,37,88,1
-18,-19,37,89,1
-18,-19,37,90,1
-18,-19,37,91,1
-18,-19,37,92,1
-18,-19,37,93,1
-18,-19,37,94,1
-18,-19,37,95,1
-18,-19,37,96,1
-18,-19,37,97,1
-18,-19,37,98,1
-18,-19,37,99,1
-18,-19,37,100,1
-18,-19,37,101,1
-18,-19,37,102,1
-18,-19,37,103,1
-18,-19,37,104,1
-18,-19,37,105,1
-18,-19,37,106,1
-18,-19,37,107,1
-18,-19,37,108,1
-18,-19,37,109,1
-18,-19,37,110,1
-18,-19,37,111,1
-18,-19,37,112,1
-18,-19,37,113,1
-18,-19,37,114,1
-18,-19,37,115,1
-18,-19,37,116,1
-18,-19,37,117,1
-18,-19,37,118,1
-18,-19,37,119,1
-18,-19,37,120,1
-18,-19,37,121,1
-18,-19,37,122,1
-18,-19,37,123,1
-18,-19,37,124,1
-18,-19,37,125,1
-18,-19,37,126,1
-18,-19,37,127,1
-18,-19,37,128,1
-18,-19,37,129,1
-18,-19,37,130,1
-18,-19,37,131,1
-18,-19,37,132,1
-18,-19,37,133,1
-18,-19,37,134,1
-18,-19,37,135,1
-18,-19,37,136,1
-18,-19,37,137,1
-18,-19,37,138,1
-18,-19,37,139,1
-18,-19,37,140,1
-18,-19,37,141,1
-18,-19,37,142,1
-18,-19,37,143,1
-18,-19,37,144,1
-18,-19,37,145,1
-18,-19,37,146,1
-18,-19,37,147,1
-18,-19,37,148,1
-18,-19,37,149,1
-18,-19,37,150,1
-18,-19,37,151,1
5,12,19,0,2
5,12,19,1,2
5,14,26,2,2
6,18,36,3,2
10,24,46,4,2
13,31,54,5,2
15,36,66,6,2
17,40,88,7,2
19,46,108,8,2
23,50,126,9,2
24,56,150,10,2
26,52,153,11,2
30,57,175,12,2
31,63,189,13,2
31,66,204,14,2
29,73,225,15,2
32,83,236,16,2
36,86,244,17,2
38,84,256,18,2
42,91,270,19,2
45,93,279,20,2
45,91,299,21,2
45,95,301,22,2
45,93,310,23,2
49,94,324,24,2
50,95,331,25,2
50,87,350,26,2
46,87,359,27,2
53,88,362,28,2
52,82,371,29,2
53,87,373,30,2
47,84,355,31,2
42,72,349,32,2
37,67,334,33,2
27,59,320,34,2
21,48,300,35,2
12,40,277,36,2
9,35,254,37,2
4,22,235,38,2
-1,12,212,39,2
-9,-3,187,40,2
-9,-9,171,41,2
-9,-10,155,42,2
-10,-10,140,43,2
-10,-14,125,44,2
-10,-15,112,45,2
-10,-17,105,46,2
-10,-19,96,47,2
-10,-21,85,48,2
-10,-21,72,49,2
-10,-22,71,50,2
-10,-22,67,51,2
-10,-22,62,52,2
-10,-23,61,53,2
-11,-24,59,54,2
-11,-24,57,55,2
-11,-24,52,56,2
-11,-24,46,57,2
-11,-24,45,58,2
-11,-24,43,59,2
-11,-24,40,60,2
-11,-25,39,61,2
-11,-25,38,62,2
-11,-25,38,63,2
-11,-26,37,64,2
-11,-26,37,65,2
-11,-26,37,66,2
-11,-26,37,67,2
-11,-26,37,68,2
-11,-26,37,69,2
-11,-26,37,70,2
-11,-26,37,71,2
-11,-26,37,72,2
-11,-26,37,73,2
-11,-26,37,74,2
-11,-26,37,75,2
-11,-26,37,76,2
-11,-26,37,77,2
-11,-26,37,78,2
-11,-26,37,79,2
-11,-26,37,80,2
-11,-26,37,81,2
-11,-26,37,82,2
-11,-26,37,83,2
-11,-26,37,84,2
-11,-26,37,85,2
-11,-26,37,86,2
-11,-26,37,87,2
-11,-26,37,88,2
-11,-26,37,89,2
-11,-26,37,90,2
-11,-26,37,91,2
-11,-26,37,92,2
-11,-26,37,93,2
-11,-26,37,94,2
-11,-26,37,95,2
-11,-26,37,96,2
-11,-26,37,97,2
-11,-26,37,98,2
-11,-26,37,99,2
-11,-26,37,100,2
-11,-26,37,101,2
-11,-26,37,102,2
-11,-26,37,103,2
-11,-26,37,104,2
-11,-26,37,105,2
-11,-26,37,106,2
-11,-26,37,107,2
-11,-26,37,108,2
-11,-26,37,109,2
-11,-26,37,110,2
-11,-26,37,111,2
-11,-26,37,112,2
-11,-26,37,113,2
-11,-26,37,114,2
-11,-26,37,115,2
-11,-26,37,116,2
-11,-26,37,117,2
-11,-26,37,118,2
-11,-26,37,119,2
-11,-26,37,120,2
-11,-26,37,121,2
-11,-26,37,122,2
-11,-26,37,123,2
-11,-26,37,124,2
-11,-26,37,125,2
-11,-26,37,126,2
-11,-26,37,127,2
-11,-26,37,128,2
-11,-26,37,129,2
-11,-26,37,130,2
-11,-26,37,131,2
-11,-26,37,132,2
-11,-26,37,133,2
-11,-26,37,134,2
-11,-26,37,135,2
-11,-26,37,136,2
-11,-26,37,137,2
-11,-26,37,138,2
-11,-26,37,139,2
-11,-26,37,140,2
-11,-26,37,141,2
-11,-26,37,142,2
-11,-26,37,143,2
-11,-26,37,144,2
-11,-26,37,145,2
-11,-26,37,146,2
-11,-26,37,147,2
-11,-26,37,148,2
-11,-26,37,149,2
-11,-26,37,150,2
-11,-26,37,151,2
8,12,19,0,3
8,12,19,1,3
9,13,24,2,3
10,14,31,3,3
12,17,41,4,3
14,22,59,5,3
15,27,65,6,3
21,29,78,7,3
26,32,92,8,3
29,39,106,9,3
34,46,123,10,3
32,43,120,11,3
32,56,133,12,3
36,74,141,13,3
35,77,155,14,3
37,77,158,15,3
39,87,183,16,3
39,92,205,17,3
39,99,219,18,3
44,106,246,19,3
46,113,257,20,3
47,114,273,21,3
51,113,279,22,3
50,110,290,23,3
61,120,301,24,3
65,124,311,25,3
67,125,322,26,3
72,117,314,27,3
76,123,321,28,3
82,118,316,29,3
85,122,310,30,3
76,117,303,31,3
68,106,297,32,3
63,99,280,33,3
49,82,268,34,3
43,70,257,35,3
31,57,227,36,3
22,51,214,37,3
15,32,188,38,3
9,13,161,39,3
0,-1,141,40,3
0,-9,126,41,3
0,-11,115,42,3
0,-15,103,43,3
0,-18,93,44,3
0,-21,77,45,3
0,-21,70,46,3
-1,-24,68,47,3
-1,-25,61,48,3
-2,-25,58,49,3
-2,-27,55,50,3
-2,-27,51,51,3
-2,-26,47,52,3
-2,-26,46,53,3
-2,-26,39,54,3
-2,-26,40,55,3
-2,-27,40,56,3
-2,-27,37,57,3
-2,-27,37,58,3
-2,-28,35,59,3
-2,-29,34,60,3
-2,-29,33,61,3
-2,-29,32,62,3
-2,-29,32,63,3
-2,-29,32,64,3
-2,-29,31,65,3
-2,-29,31,66,3
-2,-29,31,67,3
-2,-29,31,68,3
-2,-29,31,69,3
-2,-29,31,70,3
-2,-29,31,71,3
-2,-29,31,72,3
-2,-29,31,73,3
-2,-29,31,74,3
-2,-29,31,75,3
-2,-29,31,76,3
-2,-29,31,77,3
-2,-29,31,78,3
-2,-29,31,79,3
-2,-29,31,80,3
-2,-29,31,81,3
-2,-29,31,82,3
-2,-29,31,83,3
-2,-29,31,84,3
-2,-29,31,85,3
-2,-29,31,86,3
-2,-29,31,87,3
-2,-29,31,88,3
-2,-29,31,89,3
-2,-29,31,90,3
-2,-29,31,91,3
-2,-29,31,92,3
-2,-29,31,93,3
-2,-29,31,94,3
-2,-29,31,95,3
-2,-29,31,96,3
-2,-29,31,97,3
-2,-29,31,98,3
-2,-29,31,99,3
-2,-29,31,100,3
-2,-29,31,101,3
-2,-29,31,102,3
-2,-29,31,103,3
-2,-29,31,104,3
-2,-29,31,105,3
-2,-29,31,106,3
-2,-29,31,107,3
-2,-29,31,108,3
-2,-29,31,109,3
-2,-29,31,110,3
-2,-29,31,111,3
-2,-29,31,112,3
-2,-29,31,113,3
-2,-29,31,114,3
-2,-29,31,115,3
-2,-29,31,116,3
-2,-29,31,117,3
-2,-29,31,118,3
-2,-29,31,119,3
-2,-29,31,120,3
-2,-29,31,121,3
-2,-29,31,122,3
-2,-29,31,123,3
-2,-29,31,124,3
-2,-29,31,125,3
-2,-29,31,126,3
-2,-29,31,127,3
-2,-29,31,128,3
-2,-29,31,129,3
-2,-29,31,130,3
-2,-29,31,131,3
-2,-29,31,132,3
-2,-29,31,133,3
-2,-29,31,134,3
-2,-29,31,135,3
-2,-29,31,136,3
-2,-29,31,137,3
-2,-29,31,138,3
-2,-29,31,139,3
-2,-29,31,140,3
-2,-29,31,141,3
-2,-29,31,142,3
-2,-29,31,143,3
-2,-29,31,144,3
-2,-29,31,145,3
-2,-29,31,146,3
-2,-29,31,147,3
-2,-29,31,148,3
-2,-29,31,149,3
-2,-29,31,150,3
-2,-29,31,151,3
2,10,15,0,4
2,10,15,1,4
2,13,16,2,4
2,15,18,3,4
5,18,24,4,4
5,22,26,5,4
6,26,34,6,4
7,32,40,7,4
7,36,47,8,4
7,41,54,9,4
7,45,68,10,4
8,39,63,11,4
10,42,72,12,4
10,43,75,13,4
13,38,79,14,4
13,39,89,15,4
14,38,93,16,4
15,40,102,17,4
16,41,111,18,4
18,43,129,19,4
16,47,137,20,4
15,45,145,21,4
12,39,163,22,4
11,39,179,23,4
11,42,197,24,4
9,46,205,25,4
7,53,221,26,4
7,49,234,27,4
6,52,242,28,4
4,51,239,29,4
7,56,243,30,4
5,55,240,31,4
4,52,232,32,4
4,46,226,33,4
0,42,217,34,4
-1,37,210,35,4
-3,32,188,36,4
-6,29,167,37,4
-12,24,155,38,4
-15,21,136,39,4
-20,10,118,40,4
-20,7,108,41,4
-20,6,96,42,4
-20,5,87,43,4
-20,2,74,44,4
-21,1,65,45,4
-21,1,58,46,4
-21,-1,53,47,4
-21,-4,49,48,4
-21,-4,47,49,4
-21,-5,42,50,4
-21,-6,42,51,4
-21,-6,40,52,4
-21,-6,40,53,4
-21,-6,38,54,4
-22,-7,37,55,4
-22,-8,36,56,4
-22,-8,36,57,4
-22,-8,34,58,4
-22,-8,33,59,4
-22,-8,33,60,4
-22,-8,31,61,4
-22,-8,31,62,4
-22,-8,30,63,4
-22,-8,30,64,4
-22,-8,30,65,4
-22,-8,30,66,4
-22,-8,30,67,4
-22,-8,30,68,4
-22,-8,30,69,4
-22,-8,30,70,4
-22,-8,30,71,4
-22,-8,30,72,4
-22,-8,30,73,4
-22,-8,30,74,4
-22,-8,30,75,4
-22,-8,30,76,4
-22,-8,30,77,4
-22,-8,30,78,4
-22,-8,30,79,4
-22,-8,30,80,4
