S,I,R,time,iter 
4101,56,0,0,1
4101,56,0,1,1
4073,84,0,2,1
4041,116,0,3,1
4005,152,0,4,1
3951,206,0,5,1
3884,273,0,6,1
3802,355,0,7,1
3719,438,0,8,1
3613,544,0,9,1
3460,697,0,10,1
3300,801,56,11,1
3137,936,84,12,1
2948,1093,116,13,1
2729,1276,152,14,1
2524,1427,206,15,1
2321,1563,273,16,1
2080,1722,355,17,1
1893,1826,438,18,1
1734,1879,544,19,1
1559,1901,697,20,1
1417,1883,857,21,1
1291,1846,1020,22,1
1182,1766,1209,23,1
1083,1646,1428,24,1
1004,1520,1633,25,1
950,1371,1836,26,1
908,1172,2077,27,1
870,1023,2264,28,1
839,895,2423,29,1
812,747,2598,30,1
786,631,2740,31,1
767,524,2866,32,1
753,429,2975,33,1
743,340,3074,34,1
734,270,3153,35,1
726,224,3207,36,1
724,184,3249,37,1
720,150,3287,38,1
716,123,3318,39,1
713,99,3345,40,1
711,75,3371,41,1
710,57,3390,42,1
709,44,3404,43,1
708,35,3414,44,1
708,26,3423,45,1
708,18,3431,46,1
708,16,3433,47,1
708,12,3437,48,1
708,8,3441,49,1
708,5,3444,50,1
708,3,3446,51,1
708,2,3447,52,1
708,1,3448,53,1
708,0,3449,54,1
708,0,3449,55,1
708,0,3449,56,1
708,0,3449,57,1
708,0,3449,58,1
708,0,3449,59,1
708,0,3449,60,1
708,0,3449,61,1
708,0,3449,62,1
708,0,3449,63,1
708,0,3449,64,1
708,0,3449,65,1
708,0,3449,66,1
708,0,3449,67,1
708,0,3449,68,1
708,0,3449,69,1
708,0,3449,70,1
708,0,3449,71,1
708,0,3449,72,1
708,0,3449,73,1
708,0,3449,74,1
708,0,3449,75,1
708,0,3449,76,1
708,0,3449,77,1
708,0,3449,78,1
708,0,3449,79,1
708,0,3449,80,1
708,0,3449,81,1
708,0,3449,82,1
708,0,3449,83,1
708,0,3449,84,1
708,0,3449,85,1
708,0,3449,86,1
708,0,3449,87,1
708,0,3449,88,1
708,0,3449,89,1
708,0,3449,90,1
708,0,3449,91,1
708,0,3449,92,1
708,0,3449,93,1
708,0,3449,94,1
708,0,3449,95,1
708,0,3449,96,1
708,0,3449,97,1
708,0,3449,98,1
708,0,3449,99,1
708,0,3449,100,1
708,0,3449,101,1
708,0,3449,102,1
708,0,3449,103,1
708,0,3449,104,1
708,0,3449,105,1
708,0,3449,106,1
708,0,3449,107,1
708,0,3449,108,1
708,0,3449,109,1
708,0,3449,110,1
708,0,3449,111,1
708,0,3449,112,1
708,0,3449,113,1
708,0,3449,114,1
708,0,3449,115,1
708,0,3449,116,1
708,0,3449,117,1
708,0,3449,118,1
